baseline,precision,recall,f0.5,auc_pr,alert_rate
B1 (STL+MAD),0.28063241106719367,0.4551282051282051,0.3039383561643836,0.21285891481974129,0.01273148148148148
B2 (IForest),0.002798507462686567,0.009615384615384616,0.003260869565217391,0.00737989844734622,0.026972624798711754
B3 (LGBM),0.3320825515947467,0.5673076923076923,0.3621112929623568,0.5149323495013313,0.013410829307568439
Ensemble,0.18246445497630331,0.4935897435897436,0.20878524945770066,0.21773696849895058,0.021235909822866345
