,95.0,97.0,99.0,99.5,99.9
95.0,1.0,0.5999366687777075,0.1999366687777074,0.09987333755541482,0.019949335022165927
97.0,0.5999366687777075,1.0,0.33326295788029137,0.16647313417080123,0.033252401562335054
99.0,0.1999366687777074,0.33326295788029137,1.0,0.4995248653785239,0.09977827050997783
99.5,0.09987333755541482,0.16647313417080123,0.4995248653785239,1.0,0.19974635383639822
99.9,0.019949335022165927,0.033252401562335054,0.09977827050997783,0.19974635383639822,1.0
